job_title,company_name,company_location,Job_link,post_date
Machine Learning Engineer,Fusemachines,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-engineer-at-fusemachines-3490754245?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=6mN0N7mRR5%2BlRcgWApIOPQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-25
Data Scientist Jr,Yom Mercado,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-jr-at-yom-mercado-3499216200?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=HalGxal2%2F3vLfQp%2F5eGMGQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-02-24
Analista de Datos,Kangu,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-kangu-3531387594?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=CkTXbeWOpCGyXrLQk0Uylg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-16
Data Scientist,BICE VIDA,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-bice-vida-3547254265?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=%2FzVdCq9obSe%2BZsuDmca91w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-28
Data Scientist Full time,BICE VIDA,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-full-time-at-bice-vida-3531512232?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=k7hKJAueKY8OlaX2Q%2FqaFA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-17
Machine learning,Michael Page,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-at-michael-page-3550297314?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=JyBkEl3x%2FsQxFEFJ0Ty73w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-05
Machine Learning Engineer,NeuralWorks,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-engineer-at-neuralworks-3499216134?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=X7DkBqKxdoO5Q0Jz6UhoHQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-02-24
AI Software Developer - Work in Sweden,Iknal Semikan,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ai-software-developer-work-in-sweden-at-iknal-semikan-3567562394?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=uJ43QiRksboGG1oBKxft1g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-19
Machine learning,Page Personnel,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-at-page-personnel-3557698944?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=95WqBpDAJz7kjVAH0inh4Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-05
(JG) Data Scientist – Contrato Indefinido.,BC Tecnología,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/jg-data-scientist-%E2%80%93-contrato-indefinido-at-bc-tecnolog%C3%ADa-3560880203?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=8UE9gfXhY16p50PcXwHhdw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-11
Data Scientist Senior,Acid Labs,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-senior-at-acid-labs-3567765368?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=CwQcItEbmxITTFd%2BC%2FOVOQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-15
Ingenieros Data Scientist,GlobalConexus,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ingenieros-data-scientist-at-globalconexus-3549037022?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=Ap7ZWWiT09HCFbGVNYn2WA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-30
Data Scientist,Stefanini Group,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-stefanini-group-3509463539?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=hdsXQNZfjFXojYGkdD0gVg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-07
Analista de Datos,Chilexpress,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-chilexpress-3550743158?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=gp0UDzaUxkjijpglfbNTgw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-31
ML Engineer - Audio Signal Processing,Fusemachines,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ml-engineer-audio-signal-processing-at-fusemachines-3495920018?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=6zrMaymlujBywFSKA0PXeA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-28
Data Scientist,MyDNA,Área metropolitana de Santiago,https://cl.linkedin.com/jobs/view/data-scientist-at-mydna-3509241918?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=xYN9kp4OjZrlIMec2DuFyg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-02-08
Machine Learning Engineer GCP– Contrato Indefinido.,BC Tecnología,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-engineer-gcp%E2%80%93-contrato-indefinido-at-bc-tecnolog%C3%ADa-3525201131?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=AxQZe1Dg2VUzijRx%2Bqfv2w%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-15
Analista de Datos Maestros - Las Condes (Hibrido),GRUPOEXPRO,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-maestros-las-condes-hibrido-at-grupoexpro-3556439861?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=MyIIyfU286l2BtQwd6CnPQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-06
Walmart Data Scientist,Michael Page,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/walmart-data-scientist-at-michael-page-3559473982?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=%2FJA1oQAPof%2BlqbwwEBb3pA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-12
Analista de Datos,"SMU S.A. (Unimarc, M10, Alvi, y Super10)","Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-smu-s-a-unimarc-m10-alvi-y-super10-3547257146?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=fGrooJmUOrzvEfPgLQ0kig%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-28
Machine (JG) Learning Engineer GCP– Contrato Indefinido.,BC Tecnología,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-jg-learning-engineer-gcp%E2%80%93-contrato-indefinido-at-bc-tecnolog%C3%ADa-3560880216?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=nKAmTsuXf5l70F6SggAxtQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-11
Ingeniero Machine Learning,axity,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ingeniero-machine-learning-at-axity-3504190772?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=uoJpUTDqBb8PWKlX2XtXqw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-03
Walmart Data Scientist,Page Personnel,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/walmart-data-scientist-at-page-personnel-3566712159?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=x8AYcmonHKTwFDO8v6kHyg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-12
(N) Machine Learning Engineer - GCP,BC Tecnología,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/n-machine-learning-engineer-gcp-at-bc-tecnolog%C3%ADa-3556445114?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=Tel5R5qYqNifO2gVC7h7hQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-06
Data Scientist,BNP Paribas Cardif,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-bnp-paribas-cardif-3547257162?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=Zt9X2AzpS7lGq%2B79VhzENQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-28
Analista de Inteligencia Artificial,Santander,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-inteligencia-artificial-at-santander-3531350839?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=t2cqxxkor6kpRiBRg5IwXg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-02-19
Analista de Datos de Empleabilidad,Desafío Latam,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-de-empleabilidad-at-desaf%C3%ADo-latam-3519303851?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=j82ChCYNiJo93DH8nHbhWw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-11
Analista de Data Scientist - Gerencia de Negocios Inmobiliarios,Consorcio,"Las Condes, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-data-scientist-gerencia-de-negocios-inmobiliarios-at-consorcio-3504274496?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=oo0m5HWxGBIljFYhafegRQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-02-05
#318 Data Scientist,The Bridge Social,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/%23318-data-scientist-at-the-bridge-social-3521713343?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=CgtlyMLw36DwEtitCRbXDw%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-02-13
Data Scientist,COSMOS Save Energy,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-cosmos-save-energy-3547257211?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=Wh14s%2FRObHPdqIiL6c0NTQ%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-28
Analista de Datos,RECSA,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-recsa-3472892074?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=KZVsTxcQM8UPV5vT9kugQw%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-02-08
Machine Learning Manager,NotCo,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-manager-at-notco-3437416418?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=6bmguSGG67aNldnWhc1PvQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,2022-12-23
Data Scientist,Page Personnel,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-page-personnel-3530028513?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=9EAyWfTxfB%2FCQnzqtKl80Q%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-16
Analista de Datos,Echeverría Izquierdo S.A,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-echeverr%C3%ADa-izquierdo-s-a-3537484251?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=DSY9VXPIUn78jlf9oNIsWA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-24
Machine Learning Engineer Senior – Contrato Indefinido.,BC Tecnología,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-engineer-senior-%E2%80%93-contrato-indefinido-at-bc-tecnolog%C3%ADa-3537482902?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=ZkrR4gSDtfnCQU1dDjNhAw%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-02-27
Data Scientist - Gerencia de Advanced Analytics,Consorcio,"Las Condes, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-gerencia-de-advanced-analytics-at-consorcio-3484291999?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=X3M8%2Fvdr6WLyFbj9GSnyuQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-01-25
Analista de Datos Maestros - Las Condes,GRUPOEXPRO,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-maestros-las-condes-at-grupoexpro-3504195143?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=DzdNPevLly80eh1p4TuUoQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-03
Data Scientist,PMA Design,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-pma-design-3300688385?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=jSwyUtFwzrBT21ujxpcJMA%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,2022-09-14
Data Scientist,PMA Design,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-pma-design-3415896737?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=BzPXLbKV9irVllqG0Z21vQ%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,2022-12-08
Analista Inteligencia de Datos (Power BI excluyente),Industria de Alimentos Trendy S.A,"Quilicura, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-inteligencia-de-datos-power-bi-excluyente-at-industria-de-alimentos-trendy-s-a-3536386875?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=P72T1TLQTeRicKsgPsfpow%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-02-28
INGENIERO ÁREA VISIÓN ARTIFICIAL,HighService Corp,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ingeniero-%C3%A1rea-visi%C3%B3n-artificial-at-highservice-corp-3538743225?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=aVPmX9ooSpCySIuGCHzslw%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-25
Analista de Datos,Empresa de Servicios,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-empresa-de-servicios-3517456292?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=0MJB%2BIstfz%2FYq3X2ZqYryQ%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-10
Data Scientist,Michael Page,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-michael-page-3519225483?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=MZcHs5zpesq0fRfjhTSPpg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-14
Analista de Data,Cosmoplas S.A.,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-data-at-cosmoplas-s-a-3482724758?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=Ni%2F38yLJHh72g1pHsrob8Q%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-02-15
Analista de Datos,Echeverría Izquierdo S.A,"Las Condes, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-echeverr%C3%ADa-izquierdo-s-a-3537472914?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=7V4EkyCgG5f5f3s9QabAQA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-24
Analista de datos,INOVABIZ,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-inovabiz-3562634243?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=rAtervq%2F9euRn3iEqhp3vQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-04-12
Analista Inteligencia de Datos (Power BI excluyente),Industria de Alimentos Trendy S.A,"Quilicura, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-inteligencia-de-datos-power-bi-excluyente-at-industria-de-alimentos-trendy-s-a-3406138051?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=E64FzZWsiG8QYDwTIhLIKw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,2022-11-29
Data Analyst Jr Adv/Semi Senior,Acid Labs,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-analyst-jr-adv-semi-senior-at-acid-labs-3535406417?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=5nmWE9BHtHfMJQ4C32MY3A%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-23
Data Scientist,Page Personnel,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-page-personnel-3526449994?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=d9eOPloWri3HZDtb52FMPA%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-14
(N) Data Scientist Inglés Intermedio Alto - Contrato Indefinido,BC Tecnología,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/n-data-scientist-ingl%C3%A9s-intermedio-alto-contrato-indefinido-at-bc-tecnolog%C3%ADa-3556441952?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=moml9HUE9Bp2f7Am1%2FYYiA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-04-06
